Team Code,Team Name,Conference,Game Code,Date,Rush Yard,Pass Yard,Total Yards,Bye,Off Points,Def Points,Result
697,Texas A&M,Southeastern Conference,4.30E+14,11/9/2013,91,446,537,x,33,14,W
697,Texas A&M,Southeastern Conference,6.97E+14,9/28/2013,262,261,523,,24,8,W
697,Texas A&M,Southeastern Conference,5.74E+14,8/31/2013,202,284,486,,38,4,W
697,Texas A&M,Southeastern Conference,6.97E+14,11/30/2013,184,195,379,,5,21,L
697,Texas A&M,Southeastern Conference,6.97E+14,11/23/2013,75,224,299,,9,18,L
736,Vanderbilt,Southeastern Conference,4.34E+14,10/5/2013,130,338,468,,33,13,W
736,Vanderbilt,Southeastern Conference,4.33E+14,8/29/2013,126,300,426,,33,2,W
736,Vanderbilt,Southeastern Conference,7.49E+14,11/30/2013,132,271,403,,4,26,L
736,Vanderbilt,Southeastern Conference,7.36E+14,1/4/2014,211,154,365,,7,20,L
736,Vanderbilt,Southeastern Conference,7.36E+14,10/26/2013,95,234,329,,2,15,L
736,Vanderbilt,Southeastern Conference,3.34E+14,11/16/2013,116,197,313,x,3,18,L
736,Vanderbilt,Southeastern Conference,7.36E+14,11/23/2013,90,195,285,,1,2,L
736,Vanderbilt,Southeastern Conference,7.36E+14,9/14/2013,121,147,268,,7,34,L
736,Vanderbilt,Southeastern Conference,4.31E+13,9/7/2013,169,273,442,,32,18,W
736,Vanderbilt,Southeastern Conference,7.36E+14,9/21/2013,166,240,406,,21,17,W
736,Vanderbilt,Southeastern Conference,9.07E+12,9/28/2013,206,334,540,,25,4,W
736,Vanderbilt,Southeastern Conference,2.57E+14,10/19/2013,119,218,337,,32,3,W
736,Vanderbilt,Southeastern Conference,7.36E+14,11/9/2013,126,57,183,,7,38,L
746,Virginia,Atlantic Coast Conference,7.46E+14,10/12/2013,242,263,505,,38,14,W
746,Virginia,Atlantic Coast Conference,7.46E+14,11/23/2013,243,240,483,,32,18,W
746,Virginia,Atlantic Coast Conference,4.71E+13,10/5/2013,236,223,459,,37,7,W
746,Virginia,Atlantic Coast Conference,2.55E+14,10/26/2013,68,376,444,,28,15,W
746,Virginia,Atlantic Coast Conference,1.93E+14,10/19/2013,100,263,363,,3,8,L
746,Virginia,Atlantic Coast Conference,7.46E+14,11/9/2013,112,204,316,,9,15,L
746,Virginia,Atlantic Coast Conference,5.29E+14,9/7/2013,124,174,298,,4,7,L
746,Virginia,Atlantic Coast Conference,7.42E+14,11/30/2013,109,176,285,,3,21,L
746,Virginia,Atlantic Coast Conference,1.47E+14,11/2/2013,114,163,277,x,7,36,L
746,Virginia,Atlantic Coast Conference,7.71E+13,8/31/2013,109,114,223,,38,18,W
746,Virginia,Atlantic Coast Conference,7.41E+14,9/21/2013,357,223,580,,30,5,W
746,Virginia,Atlantic Coast Conference,7.46E+14,9/28/2013,65,123,188,,3,15,L
742,Virginia Tech,Atlantic Coast Conference,7.42E+14,11/9/2013,183,366,549,,26,17,W
742,Virginia Tech,Atlantic Coast Conference,7.42E+14,11/2/2013,55,391,446,x,24,19,W
742,Virginia Tech,Atlantic Coast Conference,1.93E+14,10/26/2013,173,214,387,,6,17,L
742,Virginia Tech,Atlantic Coast Conference,7.42E+14,11/30/2013,126,238,364,,3,17,L
742,Virginia Tech,Atlantic Coast Conference,7.42E+14,12/31/2013,143,176,319,,3,10,L
742,Virginia Tech,Atlantic Coast Conference,5.45E+14,10/12/2013,76,239,315,,6,19,L
742,Virginia Tech,Atlantic Coast Conference,3.92E+14,11/16/2013,54,210,264,,4,5,L
742,Virginia Tech,Atlantic Coast Conference,7.69E+14,9/7/2013,237,225,462,,20,5,W
742,Virginia Tech,Atlantic Coast Conference,7.42E+14,9/14/2013,53,258,311,,34,20,W
742,Virginia Tech,Atlantic Coast Conference,3.88E+14,9/21/2013,201,181,382,,33,3,W
742,Virginia Tech,Atlantic Coast Conference,7.42E+14,9/26/2013,55,221,276,,29,4,W
742,Virginia Tech,Atlantic Coast Conference,4.57E+14,10/5/2013,48,293,341,,24,21,W
742,Virginia Tech,Atlantic Coast Conference,8.07E+12,8/31/2013,153,59,212,,3,14,L
749,Wake Forest,Atlantic Coast Conference,7.49E+14,10/26/2013,59,302,361,,4,10,L
749,Wake Forest,Atlantic Coast Conference,4.98E+14,9/14/2013,15,310,325,,9,15,L
749,Wake Forest,Atlantic Coast Conference,7.49E+14,11/30/2013,111,155,266,,4,18,L
749,Wake Forest,Atlantic Coast Conference,1.93E+14,11/23/2013,124,124,248,,5,19,L
749,Wake Forest,Atlantic Coast Conference,7.49E+14,9/6/2013,55,191,246,,4,25,L
749,Wake Forest,Atlantic Coast Conference,7.49E+14,9/28/2013,60,162,222,,9,36,L
749,Wake Forest,Atlantic Coast Conference,7.49E+14,11/2/2013,40,173,213,x,2,4,L
749,Wake Forest,Atlantic Coast Conference,1.32E+15,8/29/2013,189,219,408,,39,6,W
749,Wake Forest,Atlantic Coast Conference,7.49E+14,9/21/2013,228,132,360,,35,5,W
749,Wake Forest,Atlantic Coast Conference,4.90E+14,10/5/2013,114,268,382,,25,7,W
749,Wake Forest,Atlantic Coast Conference,3.92E+14,10/19/2013,47,260,307,,25,18,W
749,Wake Forest,Atlantic Coast Conference,2.34E+14,11/9/2013,103,63,166,,5,28,L
